2,17
3,10
5,17
7,12
11,44
13,28
17,50
19,19
23,33
29,33
31,22
37,41
41,21
43,28
47,24
53,20
59,16
61,25
67,21
71,21
73,25
79,14
83,18
89,11
97,24
101,15
103,11
107,11
109,11
113,22
127,18
131,13
137,18
139,18
149,13
151,10
157,12
163,10
167,3
173,10
179,8
181,18
191,4
193,16
197,10
199,9
211,13
223,6
227,12
229,7
233,9
239,4
241,5
251,6
257,6
263,5
269,4
271,9
277,4
281,4
283,4
293,7
307,12
311,3
313,11
317,11
331,11
337,5
347,4
349,3
353,3
359,4
367,4
373,7
379,2
383,8
389,8
397,2
401,2
409,1
419,2
421,5
431,2
433,2
439,3
443,2
449,3
463,3
467,1
479,3
487,2
491,1
499,1
503,1
509,6
521,1
523,3
541,4
547,3
557,2
563,2
569,1
571,4
577,1
587,1
593,3
601,3
607,4
613,2
617,1
631,1
641,3
643,1
647,1
661,2
673,1
677,2
691,2
701,3
709,1
719,3
727,3
739,3
743,1
751,2
757,1
761,1
773,2
787,1
797,2
809,1
811,5
821,1
827,3
839,2
853,3
857,1
859,1
877,4
881,2
883,6
907,1
911,2
919,3
937,4
941,1
947,2
967,2
977,1
991,4
997,2
1009,3
1013,3
1019,1
1021,2
1039,1
1061,1
1063,1
1069,1
1087,1
1117,2
1123,1
1171,1
1187,1
1201,2
1213,1
1231,1
1237,1
1249,1
1259,1
1277,2
1283,1
1303,1
1307,1
1361,2
1427,3
1429,1
1451,1
1471,1
1483,1
1523,1
1553,1
1597,1
1619,1
1699,1
1721,1
1759,1
1777,3
1801,1
1861,1
1933,1
1951,1
1973,3
1979,3
1987,2
1997,1
1999,2
2083,1
2099,1
2131,1
2137,1
2153,1
2179,1
2207,1
2213,1
2221,1
2237,1
2239,1
2309,1
2437,1
2447,1
2473,1
2521,1
2689,1
2753,1
2819,1
2843,1
2851,1
2917,2
2953,1
2957,1
2969,2
3203,1
3593,1
3739,1
3833,1
3923,1
3947,1
3967,1
4027,1
4091,1
4093,1
4099,1
4201,1
4349,1
4447,1
4481,1
4909,1
4943,1
5099,1
5147,1
5273,1
5381,1
5689,1
5839,1
5981,1
6043,1
6619,1
6791,1
6829,1
6959,1
7109,1
7549,1
7793,1
7877,1
7919,1
7933,1
7937,1
8017,1
8059,1
8293,1
9001,1
9091,1
9973,1
10009,1
10273,1
11471,1
12343,1
12743,1
17053,1
19801,1
32323,1
37529,1
69239,1
90001,1
93563,1
101281,1
101771,1
183059,1
514229,1
971029,1
3262837,1
